,Data_Value,Gender
340,94.6,Overall
341,0.0,Overall
342,0.0,Overall
343,0.0,Overall
344,0.0,Overall
345,0.0,Overall
346,0.0,Overall
347,0.0,Overall
348,0.0,Overall
349,0.0,Overall
350,0.0,Overall
351,0.0,Overall
352,0.0,Overall
353,0.0,Male
354,0.0,Male
355,269.3,Male
356,0.0,Male
357,0.0,Male
358,0.0,Male
359,0.0,Male
360,0.0,Male
361,0.0,Male
362,0.0,Male
363,211.5,Male
364,0.0,Male
365,0.0,Male
366,0.0,Male
367,165.9,Male
368,0.0,Male
369,0.0,Male
370,0.0,Male
371,0.0,Male
372,0.0,Male
373,0.0,Male
374,0.0,Male
375,0.0,Male
376,0.0,Male
377,0.0,Male
378,0.0,Male
379,0.0,Male
380,0.0,Female
381,0.0,Female
382,174.8,Female
383,0.0,Female
384,0.0,Female
385,0.0,Female
386,0.0,Female
387,0.0,Female
388,0.0,Female
389,0.0,Female
390,144.5,Female
391,0.0,Female
392,0.0,Female
393,0.0,Female
394,161.3,Female
395,0.0,Female
396,0.0,Female
397,0.0,Female
398,0.0,Female
399,0.0,Female
400,0.0,Female
401,0.0,Female
402,160.8,Female
403,0.0,Female
404,0.0,Female
405,0.0,Female
406,0.0,Female
407,0.0,Overall
408,0.0,Overall
409,477.9,Overall
410,391.9,Overall
411,0.0,Overall
412,406.5,Overall
413,456.8,Overall
414,379.6,Overall
415,551.3,Overall
416,551.3,Overall
417,509.4,Overall
418,0.0,Overall
419,584.2,Overall
420,482.9,Overall
421,325.4,Overall
422,431.7,Overall
423,380.8,Overall
424,411.3,Overall
425,0.0,Overall
426,0.0,Overall
427,0.0,Overall
428,336.0,Overall
429,439.3,Overall
430,417.1,Overall
431,0.0,Overall
432,0.0,Overall
433,384.4,Overall
434,0.0,Male
435,0.0,Male
436,789.0,Male
437,570.8,Male
438,0.0,Male
439,594.5,Male
440,598.0,Male
441,524.1,Male
442,0.0,Male
443,0.0,Male
444,870.5,Male
445,0.0,Male
446,944.8,Male
447,699.9,Male
448,457.7,Male
449,560.1,Male
450,554.3,Male
451,556.2,Male
452,0.0,Male
453,0.0,Male
454,0.0,Male
455,473.4,Male
456,707.3,Male
457,553.4,Male
458,0.0,Male
459,0.0,Male
460,548.2,Male
461,0.0,Female
462,0.0,Female
463,292.4,Female
464,288.6,Female
465,0.0,Female
466,0.0,Female
467,298.2,Female
468,252.6,Female
469,0.0,Female
470,0.0,Female
471,286.5,Female
472,0.0,Female
473,0.0,Female
474,309.6,Female
475,274.3,Female
476,333.7,Female
477,248.7,Female
478,291.5,Female
479,0.0,Female
480,0.0,Female
481,0.0,Female
482,225.4,Female
483,285.9,Female
484,299.0,Female
485,0.0,Female
486,0.0,Female
487,267.2,Female
488,280.7,Overall
489,362.2,Male
490,207.1,Female
491,272.4,Overall
492,342.8,Male
493,204.2,Female
494,248.9,Overall
495,325.5,Male
496,176.3,Female
497,120.2,Overall
498,170.4,Male
499,0.0,Female
500,172.6,Overall
501,219.7,Male
502,144.5,Female
503,422.1,Overall
504,595.7,Male
505,286.1,Female
506,425.0,Overall
507,383.5,Overall
508,493.8,Overall
509,416.5,Overall
510,433.1,Overall
511,467.0,Overall
512,586.1,Overall
513,389.4,Overall
514,490.8,Overall
515,537.9,Overall
516,538.8,Overall
517,453.5,Overall
518,549.7,Overall
519,546.9,Overall
520,413.1,Overall
521,542.3,Overall
522,478.5,Overall
523,453.4,Overall
524,495.6,Overall
525,474.9,Overall
526,435.4,Overall
527,433.8,Overall
528,584.0,Overall
529,545.1,Overall
530,456.5,Overall
531,469.1,Overall
532,551.0,Overall
533,463.4,Overall
534,528.0,Overall
535,445.3,Overall
536,488.2,Overall
537,479.2,Overall
538,409.9,Overall
539,372.4,Overall
540,515.4,Overall
541,382.0,Overall
542,478.4,Overall
543,391.3,Overall
544,506.9,Overall
545,370.6,Overall
546,449.9,Overall
547,442.5,Overall
548,555.7,Overall
549,387.1,Overall
550,550.4,Overall
551,570.4,Overall
552,507.7,Overall
553,446.2,Overall
554,393.7,Overall
555,361.2,Overall
556,467.5,Overall
557,543.2,Overall
558,463.2,Overall
559,423.1,Overall
560,561.9,Overall
561,353.5,Overall
562,441.3,Overall
563,307.3,Overall
564,485.5,Overall
565,464.0,Overall
566,436.8,Overall
567,415.2,Overall
568,668.2,Overall
569,514.9,Overall
570,758.0,Overall
571,442.8,Overall
572,533.8,Male
573,482.4,Male
574,630.4,Male
575,555.4,Male
576,506.2,Male
577,504.0,Male
578,570.6,Male
579,726.4,Male
580,500.3,Male
581,598.0,Male
582,632.0,Male
583,661.8,Male
584,595.1,Male
585,615.6,Male
586,659.5,Male
587,521.2,Male
588,672.7,Male
589,581.4,Male
590,567.5,Male
591,646.4,Male
592,654.0,Male
593,470.3,Male
594,556.0,Male
595,719.4,Male
596,679.9,Male
597,569.5,Male
598,570.6,Male
599,700.8,Male
600,622.9,Male
601,650.5,Male
602,568.6,Male
603,615.7,Male
604,594.0,Male
605,545.9,Male
606,455.6,Male
607,634.6,Male
608,491.6,Male
609,598.2,Male
610,477.9,Male
611,592.8,Male
612,457.3,Male
613,550.9,Male
614,501.6,Male
615,711.0,Male
616,477.4,Male
617,651.2,Male
618,668.5,Male
619,639.2,Male
620,571.6,Male
621,484.5,Male
622,475.6,Male
623,566.8,Male
624,660.3,Male
625,589.5,Male
626,486.3,Male
627,678.0,Male
628,438.7,Male
629,564.3,Male
630,377.9,Male
631,600.7,Male
632,502.1,Male
633,525.2,Male
634,546.6,Male
635,761.5,Male
636,608.1,Male
637,814.5,Male
638,476.4,Male
639,337.0,Female
640,302.3,Female
641,356.0,Female
642,325.7,Female
643,333.5,Female
644,340.9,Female
645,392.6,Female
646,470.3,Female
647,313.2,Female
648,422.4,Female
649,440.2,Female
650,430.9,Female
651,341.3,Female
652,464.2,Female
653,442.5,Female
654,352.9,Female
