,Title,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Production,Website
50,Apocalypse Now,R,15-Aug-79,153 min,"Drama, War",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr (narration)","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.","English, French, Vietnamese",USA,Won 2 Oscars. Another 18 wins & 31 nominations.,8.5/10,90,8.5,"481,465",tt0078788,N/A,United Artists,http://www.zoetrope.com/zoe_films.cgi?page=films&action=show_one&film_id=13
51,Alien,R,22-Jun-79,117 min,"Horror, Sci-Fi",Ridley Scott,"Dan O'Bannon (story), Ronald Shusett (story), Dan O'Bannon (screenplay)","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious life-form, and they soon realize that its life cycle has merely begun.",English,"UK, USA",Won 1 Oscar. Another 16 wins & 19 nominations.,8.5/10,83,8.5,"618,222",tt0078748,N/A,20th Century Fox,http://www.foxmovies.com/index1.html
52,Sunset Boulevard,PASSED,29-Sep-50,110 min,"Drama, Film-Noir",Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.,English,USA,Won 3 Oscars. Another 15 wins & 18 nominations.,8.5/10,N/A,8.5,"151,983",tt0043014,N/A,Paramount Pictures,N/A
53,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,29-Jan-64,95 min,Comedy,Stanley Kubrick,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.,"English, Russian","USA, UK",Nominated for 4 Oscars. Another 13 wins & 6 nominations.,8.5/10,96,8.5,"367,328",tt0057012,N/A,Sony Pictures,N/A
54,The Great Dictator,APPROVED,7-Mar-41,125 min,"Comedy, Drama, War",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"English, Esperanto",USA,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,8.5/10,N/A,8.5,"151,705",tt0032553,N/A,Criterion Collection,N/A
55,Cinema Paradiso,R,23-Feb-90,155 min,Drama,Giuseppe Tornatore,"Giuseppe Tornatore (story), Giuseppe Tornatore (screenplay), Vanna Paoli (collaborating writer), Richard Epcar (english version)","Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",Italian,"Italy, France",Won 1 Oscar. Another 21 wins & 25 nominations.,8.5/10,80,8.5,"168,022",tt0095765,"$239,630 ",Miramax Films,http://www.miramax.com/movie/cinema-paradiso
56,The Lives of Others,R,30-Mar-07,137 min,"Drama, Thriller",Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,"Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",German,Germany,Won 1 Oscar. Another 75 wins & 33 nominations.,8.5/10,89,8.5,"280,660",tt0405094,"$11,200,000 ",Sony Pictures Classics,http://www.thelivesofothers.com/
57,Grave of the Fireflies,UNRATED,16-Apr-88,89 min,"Animation, Drama, War",Isao Takahata,"Akiyuki Nosaka (novel), Isao Takahata","Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi",A young boy and his little sister struggle to survive in Japan during World War II.,Japanese,Japan,3 wins.,8.5/10,N/A,8.5,"156,225",tt0095327,N/A,Shinchosha Company,N/A
58,Paths of Glory,APPROVED,1-Nov-57,88 min,"Drama, War",Stanley Kubrick,"Stanley Kubrick (screenplay), Calder Willingham (screenplay), Jim Thompson (screenplay), Humphrey Cobb (based on the novel ""Paths of Glory"" by)","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","English, German, Latin",USA,Nominated for 1 BAFTA Film Award. Another 4 wins & 2 nominations.,8.5/10,N/A,8.5,"132,224",tt0050825,N/A,United Artists,N/A
59,Django Unchained,R,25-Dec-12,165 min,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","English, German, French, Italian",USA,Won 2 Oscars. Another 56 wins & 151 nominations.,8.4/10,81,8.4,"1,047,465",tt1853728,"$162,804,648 ",The Weinstein Co.,http://unchainedmovie.com/
60,The Shining,R,13-Jun-80,146 min,"Drama, Horror",Stanley Kubrick,"Stephen King (novel), Stanley Kubrick (screenplay), Diane Johnson (screenplay)","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers","A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.",English,"UK, USA",3 wins & 5 nominations.,8.4/10,61,8.4,"664,418",tt0081505,N/A,Warner Bros. Pictures,N/A
61,WALL·E,G,27-Jun-08,98 min,"Animation, Adventure, Family",Andrew Stanton,"Andrew Stanton (original story by), Pete Docter (original story by), Andrew Stanton (screenplay), Jim Reardon (screenplay)","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",English,USA,Won 1 Oscar. Another 90 wins & 90 nominations.,8.4/10,94,8.4,"782,275",tt0910970,"$223,749,872 ",Walt Disney Pictures,http://www.wall-e.com/
62,American Beauty,R,1-Oct-99,122 min,"Drama, Romance",Sam Mendes,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,English,USA,Won 5 Oscars. Another 103 wins & 98 nominations.,8.4/10,86,8.4,"881,549",tt0169547,N/A,Dream Works,http://www.amazon.com/exec/obidos/subst/video/misc/dreamworks/american-beauty/ab-home.html/002-3821383-4244813
63,The Dark Knight Rises,PG-13,20-Jul-12,164 min,"Action, Thriller",Christopher Nolan,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","English, Arabic","UK, USA",Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.,8.5/10,78,8.5,"1,228,378",tt1345836,"$448,130,642 ",Warner Bros. Pictures,http://www.thedarkknightrises.com/
64,Princess Mononoke,PG-13,12-Jul-97,134 min,"Animation, Adventure, Fantasy",Hayao Miyazaki,"Hayao Miyazaki, Neil Gaiman (adapted by: English version)","Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Japanese,Japan,13 wins & 5 nominations.,8.4/10,76,8.4,"246,093",tt0119698,N/A,Miramax Films,http://www.princess-mononoke.com
65,Aliens,R,18-Jul-86,137 min,"Action, Adventure, Sci-Fi",James Cameron,"James Cameron (story by), David Giler (story by), Walter Hill (story by), Dan O'Bannon (based on characters created by), Ronald Shusett (based on characters created by), James Cameron (screenplay)","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","The moon from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?",English,"USA, UK",Won 2 Oscars. Another 18 wins & 22 nominations.,8.4/10,87,8.4,"529,034",tt0090605,N/A,20th Century Fox Film Corporat,N/A
66,Oldboy,R,21-Nov-03,120 min,"Drama, Mystery, Thriller",Chan-wook Park,"Garon Tsuchiya (story), Nobuaki Minegishi (comic), Chan-wook Park (screenplay), Chun-hyeong Lim (screenplay), Jo-yun Hwang (screenplay)","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Korean,South Korea,38 wins & 18 nominations.,8.4/10,74,8.4,"387,850",tt0364569,"$637,778 ",Tartan Films,http://oldboy.film.ru/
67,Once Upon a Time in America,R,1-Jun-84,229 min,"Crime, Drama",Sergio Leone,"Harry Grey (novel), Leonardo Benvenuti (screenplay), Piero De Bernardi (screenplay), Enrico Medioli (screenplay), Franco Arcalli (screenplay), Franco Ferrini (screenplay), Sergio Leone (screenplay), Stuart Kaminsky (additional dialogue)","Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","English, Italian, French","Italy, USA",Nominated for 2 Golden Globes. Another 11 wins & 7 nominations.,8.4/10,N/A,8.4,"239,391",tt0087843,N/A,Warner Home Video,N/A
68,Witness for the Prosecution,APPROVED,6-Feb-58,116 min,"Crime, Drama, Mystery",Billy Wilder,"Agatha Christie (in Agatha Christie's international stage success), Billy Wilder (screen play), Harry Kurnitz (screen play), Lawrence B. Marcus (adaptation)","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"English, German",USA,Nominated for 6 Oscars. Another 3 wins & 9 nominations.,8.4/10,N/A,8.4,"70,915",tt0051201,N/A,MGM,N/A
69,Das Boot,R,10-Feb-82,149 min,"Adventure, Drama, Thriller",Wolfgang Petersen,"Wolfgang Petersen (screenplay), Lothar G. Buchheim (novel)","Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch","The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.","German, English, French",West Germany,Nominated for 6 Oscars. Another 13 wins & 5 nominations.,8.4/10,86,8.4,"180,895",tt0082096,N/A,Columbia Pictures,N/A
70,Citizen Kane,APPROVED,5-Sep-41,119 min,"Drama, Mystery",Orson Welles,"Herman J. Mankiewicz (original screen play), Orson Welles (original screen play)","Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",English,USA,Won 1 Oscar. Another 9 wins & 12 nominations.,8.4/10,100,8.4,"318,781",tt0033467,N/A,RKO Radio Pictures,N/A
71,Dangal,UNRATED,21-Dec-16,161 min,"Action, Biography, Drama",Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Nitesh Tiwari","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Hindi,India,3 wins.,8.7/10,N/A,8.7,"55,286",tt5074352,"$12,382,287 ",Aamir Khan Productions,N/A
72,North by Northwest,APPROVED,26-Sep-59,136 min,"Action, Adventure, Mystery",Alfred Hitchcock,Ernest Lehman,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis","A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",English,USA,Nominated for 3 Oscars. Another 8 wins & 4 nominations.,8.4/10,N/A,8.4,"235,871",tt0053125,N/A,Turner Entertainment,N/A
73,Vertigo,PG,21-Jul-58,128 min,"Mystery, Romance, Thriller",Alfred Hitchcock,"Alec Coppel (screenplay), Samuel A. Taylor (screenplay), Pierre Boileau (novel), Thomas Narcejac (novel)","James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore","A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",English,USA,Nominated for 2 Oscars. Another 8 wins & 4 nominations.,8.4/10,N/A,8.4,"272,500",tt0052357,N/A,Paramount Pictures,N/A
74,Star Wars: Episode VI - Return of the Jedi,PG,25-May-83,131 min,"Action, Adventure, Fantasy",Richard Marquand,"Lawrence Kasdan (screenplay), George Lucas (screenplay), George Lucas (story by)","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.",English,USA,Nominated for 4 Oscars. Another 20 wins & 16 nominations.,8.4/10,53,8.4,"747,275",tt0086190,N/A,Twentieth Century Fox,http://www.starwars.com/episode-vi/
75,Reservoir Dogs,R,2-Sep-92,99 min,"Crime, Drama, Thriller",Quentin Tarantino,"Quentin Tarantino, Roger Avary (background radio dialog), Quentin Tarantino (background radio dialog)","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn","After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",English,USA,9 wins & 15 nominations.,8.3/10,78,8.3,"721,998",tt0105236,N/A,Miramax Films,N/A
76,Braveheart,R,24-May-95,178 min,"Biography, Drama, History",Mel Gibson,Randall Wallace,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo","When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.","English, French, Latin, Scottish Gaelic",USA,Won 5 Oscars. Another 26 wins & 29 nominations.,8.4/10,68,8.4,"793,897",tt0112573,N/A,Paramount Pictures,N/A
77,M,NOT RATED,31-Aug-31,99 min,"Crime, Drama, Mystery",Fritz Lang,"Thea von Harbou (script), Fritz Lang (script)","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",German,Germany,2 wins.,8.4/10,N/A,8.4,"107,757",tt0022100,"$17,599 ",Foremco,N/A
78,Requiem for a Dream,R,15-Dec-00,102 min,Drama,Darren Aronofsky,"Hubert Selby Jr. (based on the book by), Hubert Selby Jr. (screenplay), Darren Aronofsky (screenplay)","Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,English,USA,Nominated for 1 Oscar. Another 33 wins & 62 nominations.,8.4/10,68,8.4,"618,232",tt0180093,"$2,546,851 ",Artisan Entertainment,http://www.requiemforadream.com
79,Amélie,R,8-Feb-02,122 min,"Comedy, Romance",Jean-Pierre Jeunet,"Guillaume Laurant (scenario), Jean-Pierre Jeunet (scenario), Guillaume Laurant (dialogue)","Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","French, Russian, English","France, Germany",Nominated for 5 Oscars. Another 57 wins & 64 nominations.,8.4/10,69,8.4,"574,954",tt0211915,N/A,Miramax Films,http://www.miramax.com/movie/amelie
80,Like Stars on Earth,PG,21-Dec-07,165 min,"Drama, Family, Music","Aamir Khan, Amole Gupte","Amole Gupte (dialogue & screenplay), Amole Gupte (story)","Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Hindi, English",India,14 wins & 15 nominations.,8.5/10,N/A,8.5,"105,140",tt0986264,"$1,204,660 ",UTV Communications,http://www.taarezameenpar.com/
81,A Clockwork Orange,R,2-Feb-72,136 min,"Crime, Drama, Sci-Fi",Stanley Kubrick,"Stanley Kubrick (screenplay), Anthony Burgess (novel)","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke","In future Britain, Alex DeLarge, a charismatic and psycopath delinquent, who likes to practice crimes and ultra-violence with his gang, is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.",English,"UK, USA",Nominated for 4 Oscars. Another 9 wins & 17 nominations.,8.3/10,78,8.3,"601,251",tt0066921,N/A,Warner Bros.,N/A
82,Lawrence of Arabia,PG,11-Dec-62,216 min,"Adventure, Biography, Drama",David Lean,"T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","English, Arabic, Turkish","UK, USA",Won 7 Oscars. Another 23 wins & 14 nominations.,8.3/10,100,8.3,"207,765",tt0056172,N/A,Columbia Pictures,N/A
83,Taxi Driver,R,8-Feb-76,113 min,"Crime, Drama",Martin Scorsese,Paul Schrader,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, while attempting to save a preadolescent prostitute in the process.","English, Spanish",USA,Nominated for 4 Oscars. Another 21 wins & 15 nominations.,8.3/10,93,8.3,"549,211",tt0075314,N/A,Columbia Pictures,N/A
84,Double Indemnity,PASSED,6-Jul-44,107 min,"Crime, Drama, Film-Noir",Billy Wilder,"Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,English,USA,Nominated for 7 Oscars. Another 2 wins & 2 nominations.,8.3/10,N/A,8.3,"106,914",tt0036775,N/A,Paramount Pictures,N/A
85,Eternal Sunshine of the Spotless Mind,R,19-Mar-04,108 min,"Drama, Romance, Sci-Fi",Michel Gondry,"Charlie Kaufman (story), Michel Gondry (story), Pierre Bismuth (story), Charlie Kaufman (screenplay)","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood","When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.",English,USA,Won 1 Oscar. Another 70 wins & 109 nominations.,8.3/10,89,8.3,"720,117",tt0338013,"$34,126,138 ",Focus Features,http://www.eternalsunshine.com/
86,Amadeus,R,19-Sep-84,160 min,"Biography, Drama, History",Milos Forman,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.","English, Italian, Latin, German","USA, France",Won 8 Oscars. Another 33 wins & 14 nominations.,8.3/10,93,8.3,"293,394",tt0086879,N/A,Warner Bros. Pictures,http://movies.warnerbros.com/amadeus
87,To Kill a Mockingbird,NOT RATED,16-Mar-63,129 min,"Crime, Drama",Robert Mulligan,"Harper Lee (based on her novel ""To Kill a Mockingbird""), Horton Foote (screenplay)","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",English,USA,Won 3 Oscars. Another 10 wins & 16 nominations.,8.3/10,N/A,8.3,"234,351",tt0056592,N/A,Universal International Pictur,N/A
88,Toy Story 3,G,18-Jun-10,103 min,"Animation, Adventure, Comedy",Lee Unkrich,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay)","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","English, Spanish",USA,Won 2 Oscars. Another 59 wins & 91 nominations.,8.3/10,92,8.3,"589,975",tt0435761,"$414,984,497 ",Walt Disney Pictures,http://www.disney.com/ToyStory
89,Full Metal Jacket,R,10-Jul-87,116 min,"Drama, War",Stanley Kubrick,"Gustav Hasford (novel), Stanley Kubrick (screenplay), Michael Herr (screenplay), Gustav Hasford (screenplay)","Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"English, Vietnamese","UK, USA",Nominated for 1 Oscar. Another 7 wins & 9 nominations.,8.3/10,76,8.3,"527,053",tt0093058,N/A,Warner Bros.,N/A
90,2001: A Space Odyssey,G,12-May-68,149 min,"Adventure, Sci-Fi",Stanley Kubrick,"Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.","English, Russian","UK, USA",Won 1 Oscar. Another 13 wins & 8 nominations.,8.3/10,86,8.3,"462,767",tt0062622,"$135,620 ",Warner Bros. Pictures,N/A
91,Singin' in the Rain,APPROVED,11-Apr-52,103 min,"Comedy, Musical, Romance","Stanley Donen, Gene Kelly","Betty Comden (story by), Adolph Green (story by)","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",A silent film production company and cast make a difficult transition to sound.,English,USA,Nominated for 2 Oscars. Another 5 wins & 7 nominations.,8.3/10,N/A,8.3,"166,166",tt0045152,N/A,MGM,http://www.FathomEvents.com
92,Your Name,PG,7-Apr-17,106 min,"Animation, Drama, Fantasy",Makoto Shinkai,"Makoto Shinkai (based on his novel), Makoto Shinkai (screenplay), Clark Cheng (english script)","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Japanese, Chinese",Japan,8 wins & 11 nominations.,8.6/10,79,8.6,"37,312",tt5311514,"$4,676,810 ",FUNimation Films,https://www.funimationfilms.com/movie/yourname/
93,The Sting,PG,25-Dec-73,129 min,"Comedy, Crime, Drama",George Roy Hill,David S. Ward,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning","In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.",English,USA,Won 7 Oscars. Another 10 wins & 6 nominations.,8.3/10,80,8.3,"190,154",tt0070735,N/A,Universal Pictures,N/A
94,Toy Story,G,22-Nov-95,81 min,"Animation, Adventure, Comedy",John Lasseter,"John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay), Andrew Stanton (screenplay), Joel Cohen (screenplay), Alec Sokolow (screenplay)","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,English,USA,Nominated for 3 Oscars. Another 23 wins & 18 nominations.,8.3/10,95,8.3,"680,986",tt0114709,N/A,Buena Vista,http://www.disney.com/ToyStory
95,Bicycle Thieves,NOT RATED,13-Dec-49,89 min,Drama,Vittorio De Sica,"Cesare Zavattini (story), Luigi Bartolini (novel), Oreste Biancoli (screenplay), Suso Cecchi D'Amico (screenplay), Vittorio De Sica (screenplay), Adolfo Franci (screenplay), Gherardo Gherardi (screenplay), Gerardo Guerrieri (screenplay), Cesare Zavattini (screenplay)","Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Italian,Italy,Nominated for 1 Oscar. Another 18 wins.,8.3/10,N/A,8.3,"104,275",tt0040522,N/A,ENIC,N/A
96,The Kid,NOT RATED,6-Feb-21,68 min,"Comedy, Drama, Family",Charles Chaplin,Charles Chaplin,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",English,USA,1 win.,8.3/10,N/A,8.3,"76,513",tt0012349,N/A,First National Pictures Inc.,N/A
97,Inglourious Basterds,R,21-Aug-09,153 min,"Adventure, Drama, War","Quentin Tarantino, Eli Roth",Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","English, German, French, Italian","USA, Germany",Won 1 Oscar. Another 129 wins & 165 nominations.,8.3/10,69,8.3,"969,927",tt0361748,"$120,523,073 ",The Weinstein Company,http://www.inglouriousbasterds-movie.com/
98,3 Idiots,PG-13,25-Dec-09,170 min,"Adventure, Comedy, Drama",Rajkumar Hirani,"Rajkumar Hirani (screenplay), Abhijat Joshi (screenplay), Vidhu Vinod Chopra (screenplay), Abhijat Joshi (story), Chetan Bhagat (novel)","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor Khan","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Hindi, English",India,25 wins & 13 nominations.,8.4/10,67,8.4,"242,305",tt1187043,"$6,500,000 ",Big Pictures,http://www.idiotsacademy.zapak.com/idiotsmain.php
99,Snatch,R,19-Jan-01,102 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","English, Russian","UK, USA",4 wins & 6 nominations.,8.3/10,55,8.3,"643,205",tt0208092,"$30,093,107 ",Columbia Pictures,N/A
100,Monty Python and the Holy Grail,PG,25-May-75,91 min,"Adventure, Comedy, Fantasy","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","King Arthur and his knights embark on a low-budget search for the Grail, encountering many, very silly obstacles.","English, French, Latin",UK,2 wins & 2 nominations.,8.3/10,93,8.3,"408,671",tt0071853,N/A,Almi Cinema 5,N/A
101,L.A. Confidential,R,19-Sep-97,138 min,"Crime, Drama, Mystery",Curtis Hanson,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell","As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",English,USA,Won 2 Oscars. Another 85 wins & 77 nominations.,8.3/10,90,8.3,"441,642",tt0119488,N/A,Warner Bros. Pictures,N/A
102,For a Few Dollars More,R,10-May-67,132 min,Western,Sergio Leone,"Sergio Leone (scenario), Fulvio Morsella (scenario), Luciano Vincenzoni (screenplay), Sergio Leone (screenplay), Luciano Vincenzoni (dialogue: English version)","Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mario Brega",Two bounty hunters with the same intentions team up to track down a Western outlaw.,Italian,"Italy, Spain, West Germany",N/A,8.3/10,N/A,8.3,"171,692",tt0059578,N/A,MGM Home Entertainment,N/A
