,Title,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Production,Website
12,Forrest Gump,PG-13,6-Jul-94,142 min,"Comedy, Drama, Romance",Robert Zemeckis,"Winston Groom (novel), Eric Roth (screenplay)","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys","While not intelligent, Forrest Gump has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.",English,USA,Won 6 Oscars. Another 39 wins & 66 nominations.,8.8/10,82,8.8,"1,365,937",tt0109830,"$405,000 ",Paramount Pictures,http://www.paramount.com/movies/forrest-gump/
13,Star Wars: Episode V - The Empire Strikes Back,PG,20-Jun-80,124 min,"Action, Adventure, Fantasy",Irvin Kershner,"Leigh Brackett (screenplay), Lawrence Kasdan (screenplay), George Lucas (story by)","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","After the rebels are overpowered by the Empire on their newly established base, Luke Skywalker begins Jedi training with Master Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke.",English,USA,Won 1 Oscar. Another 21 wins & 19 nominations.,8.8/10,81,8.8,"910,608",tt0080684,"$4,548,170 ",Twentieth Century Fox,http://www.starwars.com/episode-v/
14,Inception,PG-13,16-Jul-10,148 min,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.","English, Japanese, French","USA, UK",Won 4 Oscars. Another 150 wins & 203 nominations.,8.8/10,74,8.8,"1,592,306",tt1375666,"$292,568,851 ",Warner Bros. Pictures,http://inceptionmovie.warnerbros.com/
15,The Lord of the Rings: The Two Towers,PG-13,18-Dec-02,179 min,"Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)","Bruce Allpress, Sean Astin, John Bach, Sala Baker","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","English, Sindarin, Old English","USA, New Zealand",Won 2 Oscars. Another 118 wins & 138 nominations.,8.7/10,88,8.7,"1,188,300",tt0167261,"$339,700,000 ",New Line Cinema,http://www.lordoftherings.net/
16,One Flew Over the Cuckoo's Nest,R,19-Nov-75,133 min,Drama,Milos Forman,"Lawrence Hauben (screenplay), Bo Goldman (screenplay), Ken Kesey (based on the novel by), Dale Wasserman (the play version: ""One Flew Over the Cuckoo's Nest"" by)","Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown",A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,English,USA,Won 5 Oscars. Another 30 wins & 13 nominations.,8.7/10,80,8.7,"729,653",tt0073486,N/A,United Artists,N/A
17,Goodfellas,R,21-Sep-90,146 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","The story of Henry Hill and his life through the teen years into the years of mafia, covering his relationship with wife Karen Hill and his Mob partners Jimmy Conway and Tommy DeVitto in the Italian-American crime syndicate.","English, Italian",USA,Won 1 Oscar. Another 37 wins & 35 nominations.,8.7/10,89,8.7,"787,997",tt0099685,N/A,Warner Bros.,N/A
18,The Matrix,R,31-Mar-99,136 min,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,English,USA,Won 4 Oscars. Another 34 wins & 45 nominations.,8.7/10,73,8.7,"1,314,628",tt0133093,N/A,Warner Bros. Pictures,http://www.whatisthematrix.com
19,Seven Samurai,UNRATED,19-Nov-56,207 min,"Adventure, Drama",Akira Kurosawa,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Japanese,Japan,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,8.7/10,98,8.7,"246,807",tt0047478,N/A,Columbia Pictures,N/A
20,Star Wars: Episode IV - A New Hope,PG,25-May-77,121 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.",English,USA,Won 6 Oscars. Another 50 wins & 28 nominations.,8.7/10,92,8.7,"982,688",tt0076759,N/A,20th Century Fox,http://www.starwars.com/episode-iv/
21,City of God,R,13-Feb-04,130 min,"Crime, Drama","Fernando Meirelles, Kátia Lund","Paulo Lins (novel), Bráulio Mantovani (screenplay)","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva","Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",Portuguese,"Brazil, France",Nominated for 4 Oscars. Another 65 wins & 38 nominations.,8.7/10,79,8.7,"571,582",tt0317248,N/A,Miramax Films,http://www.miramax.com/movie/city-of-god
22,Se7en,R,22-Sep-95,127 min,"Crime, Drama, Mystery",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",English,USA,Nominated for 1 Oscar. Another 25 wins & 34 nominations.,8.6/10,65,8.6,"1,108,627",tt0114369,N/A,New Line Cinema,N/A
23,The Silence of the Lambs,R,14-Feb-91,118 min,"Crime, Drama, Thriller",Jonathan Demme,"Thomas Harris (novel), Ted Tally (screenplay)","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,English,USA,Won 5 Oscars. Another 49 wins & 37 nominations.,8.6/10,84,8.6,"967,878",tt0102926,N/A,Orion Pictures Corporation,N/A
24,It's a Wonderful Life,PG,7-Jan-47,130 min,"Drama, Family, Fantasy",Frank Capra,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,English,USA,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,8.6/10,89,8.6,"301,614",tt0038650,N/A,Liberty Films,N/A
25,Life Is Beautiful,PG-13,12-Feb-99,116 min,"Comedy, Drama, War",Roberto Benigni,"Vincenzo Cerami (story and screenplay by), Roberto Benigni (story and screenplay by)","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Italian, German, English",Italy,Won 3 Oscars. Another 66 wins & 51 nominations.,8.6/10,59,8.6,"464,159",tt0118799,N/A,Miramax,http://www.miramax.com/movie/life-is-beautiful/
26,The Usual Suspects,R,15-Sep-95,106 min,"Crime, Drama, Mystery",Bryan Singer,Christopher McQuarrie,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","English, Hungarian, Spanish, French","USA, Germany",Won 2 Oscars. Another 32 wins & 16 nominations.,8.6/10,77,8.6,"797,545",tt0114814,N/A,Gramercy Pictures,N/A
27,Léon: The Professional,R,18-Nov-94,110 min,"Crime, Drama, Thriller",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","English, Italian, French",France,5 wins & 11 nominations.,8.6/10,64,8.6,"787,281",tt0110413,N/A,Columbia Pictures,N/A
28,Saving Private Ryan,R,24-Jul-98,169 min,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","English, French, German, Czech",USA,Won 5 Oscars. Another 74 wins & 74 nominations.,8.6/10,90,8.6,"960,639",tt0120815,N/A,Paramount Pictures,http://https://www.facebook.com/SavingPrivateRyanMovie
29,Spirited Away,PG,28-Mar-03,125 min,"Animation, Adventure, Family",Hayao Miyazaki,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Japanese, English",Japan,Won 1 Oscar. Another 56 wins & 27 nominations.,8.6/10,94,8.6,"464,405",tt0245429,"$9,855,615 ",Walt Disney Pictures,http://bventertainment.go.com/movies/spiritedaway
30,Once Upon a Time in the West,PG-13,4-Jul-69,164 min,Western,Sergio Leone,"Sergio Donati (screenplay), Sergio Leone (screenplay), Dario Argento (from a story by), Bernardo Bertolucci (from a story by), Sergio Leone (from a story by)","Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Italian, Spanish, English","Italy, USA",4 wins & 5 nominations.,8.6/10,80,8.6,"234,483",tt0064116,N/A,Paramount Pictures,N/A
31,American History X,R,20-Nov-98,119 min,"Crime, Drama",Tony Kaye,David McKenna,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,English,USA,Nominated for 1 Oscar. Another 4 wins & 13 nominations.,8.5/10,62,8.5,"843,128",tt0120586,N/A,New Line Cinema,http://www.historyx.com
32,Interstellar,PG-13,7-Nov-14,169 min,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,English,"USA, UK, Canada, Iceland",Won 1 Oscar. Another 41 wins & 142 nominations.,8.6/10,74,8.6,"1,057,411",tt0816692,"$158,737,441 ",Paramount Pictures,http://www.InterstellarMovie.com/
33,Psycho,APPROVED,8-Sep-60,109 min,"Horror, Mystery, Thriller",Alfred Hitchcock,"Joseph Stefano (screenplay), Robert Bloch (novel)","Anthony Perkins, Vera Miles, John Gavin, Janet Leigh","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",English,USA,Nominated for 4 Oscars. Another 5 wins & 9 nominations.,8.5/10,97,8.5,"458,316",tt0054215,N/A,Paramount Pictures,N/A
34,Casablanca,PG,23-Jan-43,102 min,"Drama, Romance, War",Michael Curtiz,"Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","In Casablanca in December 1941, a cynical American expatriate encounters a former lover, with unforeseen complications.","English, French, German, Italian",USA,Won 3 Oscars. Another 5 wins & 8 nominations.,8.5/10,100,8.5,"415,400",tt0034583,N/A,Warner Bros. Pictures,http://www.FathomEvents.com
35,City Lights,G,7-Mar-31,87 min,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",English,USA,3 wins.,8.6/10,N/A,8.6,"119,453",tt0021749,N/A,Twentieth Century Fox Home Entertainment,N/A
36,The Green Mile,R,10-Dec-99,189 min,"Crime, Drama, Fantasy",Frank Darabont,"Stephen King (novel), Frank Darabont (screenplay)","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","English, French",USA,Nominated for 4 Oscars. Another 15 wins & 30 nominations.,8.5/10,61,8.5,"857,527",tt0120689,N/A,Warner Bros. Pictures,http://www.thegreenmile.com
37,The Intouchables,R,2-Nov-11,112 min,"Biography, Comedy, Drama","Olivier Nakache, Eric Toledano","Olivier Nakache, Eric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","French, English",France,Nominated for 1 Golden Globe. Another 35 wins & 39 nominations.,8.6/10,57,8.6,"562,601",tt1675434,"$13,179,837 ",The Weinstein Company,http://weinsteinco.com/sites/the-intouchables/
38,Modern Times,G,25-Feb-36,87 min,"Comedy, Drama, Family",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,English,USA,4 wins & 1 nomination.,8.5/10,96,8.5,"158,254",tt0027977,N/A,United Artists,http://www.kino.com/moderntimes
39,Raiders of the Lost Ark,PG,12-Jun-81,115 min,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan (screenplay), George Lucas (story by), Philip Kaufman (story by)","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.,"English, German, Hebrew, Spanish, Arabic, Nepali",USA,Won 4 Oscars. Another 30 wins & 23 nominations.,8.5/10,85,8.5,"709,587",tt0082971,N/A,Paramount Pictures,http://www.indianajones.com/raiders/
