,City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max. Temp,Wind Speed
92,ikare,0,NG,1544347360.710763,70,7.49,5.23,84.33,4.27
93,kabo,0,CF,1544347360.830438,34,7.69,18.62,87.71,5.28
96,anloga,20,GH,1544347361.185191,94,5.79,0.9,78.8,10.29
97,mongoumba,48,CD,1544347361.303319,75,3.64,18.59,82.67,2.86
98,yola,0,NG,1544347361.4190452,39,9.26,12.45,84.47,3.49
99,yenagoa,20,NG,1544347361.534174,83,4.92,6.26,84.69,4.5
100,shagamu,20,NG,1544347361.744098,83,6.84,3.65,82.4,6.93
101,boda,0,BD,1544347362.008378,35,26.2,88.56,81.14,4.27
102,akom,0,GH,1544347362.266878,81,6.86,-1.64,81.5,4.76
103,wukari,48,NG,1544347362.4899,32,7.87,9.78,83.3,10.58
104,nikki,0,BJ,1544347362.7042859,37,9.94,3.21,80.28,6.89
105,boda,0,BD,1544347362.8366,35,26.2,88.56,81.14,4.27
106,tignere,8,CM,1544347363.0589492,31,7.37,12.65,78.48,6.33
107,numan,12,NG,1544347363.28988,36,9.46,12.04,84.47,6.11
108,kishi,0,NG,1544347363.508411,41,9.08,3.85,81.23,6.11
110,bosobolo,24,CD,1544347363.7458382,88,4.19,19.88,81.63,6.62
111,boda,0,BD,1544347363.859123,35,26.2,88.56,81.14,4.27
112,yokadouma,0,CM,1544347364.076729,76,3.52,15.05,79.83,3.2
113,savalou,0,BJ,1544347364.2774951,62,7.93,1.98,83.61,3.38
114,sangmelima,32,CM,1544347364.4902132,78,2.93,11.98,76.86,2.98
115,poli,0,CM,1544347364.6055381,43,8.48,13.24,82.04,4.09
116,aplahoue,0,BJ,1544347364.8214452,61,6.93,1.68,86.45,4.99
117,sangmelima,32,CM,1544347364.944104,78,2.93,11.98,76.86,2.98
118,anloga,20,GH,1544347365.055561,94,5.79,0.9,78.8,10.29
119,mbaiki,56,CF,1544347365.266475,75,3.87,17.99,82.53,3.09
120,cotonou,20,BJ,1544347365.4755871,94,6.37,2.43,77.0,6.93
121,lafia,76,NG,1544347365.721196,57,8.5,8.51,81.09,6.78
122,sarh,0,TD,1544347365.9653661,23,9.14,18.39,84.2,11.41
123,libreville,20,GA,1544347366.079364,78,0.39,9.45,82.4,3.36
124,lafiagi,0,NG,1544347366.3056672,49,8.85,5.42,83.75,5.55
125,ode,0,NG,1544347366.547633,61,7.79,5.71,83.84,4.32
126,auchi,0,NG,1544347366.756758,74,7.07,6.27,83.79,4.54
127,mbandaka,64,CD,1544347366.972534,96,0.05,18.26,75.51,2.75
128,eseka,36,CM,1544347367.256149,83,3.65,10.77,79.25,3.38
129,kribi,88,CM,1544347367.3764548,91,2.94,9.91,80.64,3.87
130,keta,20,GH,1544347367.6039739,94,5.92,0.99,78.8,10.29
131,impfondo,88,CD,1544347367.7194939,85,1.62,18.06,78.84,3.04
132,baoro,8,CF,1544347367.9696581,65,5.69,15.95,78.93,4.54
134,mbaiki,56,CF,1544347368.198882,75,3.87,17.99,82.53,3.09
136,ikom,8,NG,1544347368.52065,67,5.96,8.72,86.18,3.87
137,banyo,36,CM,1544347368.629759,31,6.75,11.81,81.32,4.83
138,teshie,8,GH,1544347368.74585,83,5.58,-0.11,82.4,8.05
139,mbini,40,GQ,1544347368.956129,83,1.58,9.62,82.4,2.3
140,libreville,20,GA,1544347369.069382,78,0.39,9.45,82.4,3.36
141,tignere,8,CM,1544347369.1883688,31,7.37,12.65,78.48,6.33
143,carnot,0,CF,1544347369.53942,76,4.94,15.87,80.46,4.38
144,edea,75,CM,1544347369.654899,88,3.8,10.13,82.4,4.7
145,kumba,36,CM,1544347369.884185,85,4.64,9.44,78.03,2.48
146,port-gentil,20,GA,1544347370.005687,74,-0.72,8.78,86.0,4.7
147,abong mbang,24,CM,1544347370.120885,82,3.98,13.18,77.27,2.98
148,makokou,76,GA,1544347370.2400901,93,0.56,12.85,75.29,2.86
150,poli,0,CM,1544347370.4798238,43,8.48,13.24,82.04,4.09
151,yenagoa,20,NG,1544347370.605064,83,4.92,6.26,84.69,4.5
152,dibombari,75,CM,1544347370.724916,88,4.18,9.66,82.4,4.7
153,minna,0,NG,1544347370.845811,36,9.62,6.55,84.92,11.92
154,lafia,76,NG,1544347370.955179,57,8.5,8.51,81.09,6.78
155,kabo,0,CF,1544347371.070204,34,7.69,18.62,87.71,5.28
156,pala,0,IN,1544347371.377655,46,9.71,76.68,91.4,8.05
157,nanga eboko,8,CM,1544347371.606206,85,4.68,12.37,77.99,4.61
158,mongoumba,48,CD,1544347371.72462,75,3.64,18.59,82.67,2.86
159,teshie,8,GH,1544347371.844985,83,5.58,-0.11,82.4,8.05
